feature,weight
nlp:tfidf__( put +1/+1,0.0
nlp:tfidf__( oppon dealt,0.0
nlp:tfidf__( mana abil,0.0
nlp:tfidf__( deal both,0.0
nlp:tfidf__( look top,0.0
nlp:tfidf__( long spell,0.0
nlp:tfidf__( exert creatur,0.0
nlp:tfidf__( effect last,0.0
nlp:tfidf__( each clash,0.0
nlp:tfidf__( each card,0.0
nlp:tfidf__( deal excess,0.0
nlp:tfidf__( deal combat,0.0
nlp:tfidf__& {3} {u},0.0
nlp:tfidf__& {3} {t},0.0
nlp:tfidf__& {3} {r},0.0
nlp:tfidf__& discard card,0.0
nlp:tfidf__& morph {2},0.0
nlp:tfidf__& long you,0.0
nlp:tfidf__& lifelink (,0.0
nlp:tfidf__& first strike,0.0
nlp:tfidf__& enchant perman,0.0
nlp:tfidf__& enchant land,0.0
nlp:tfidf__& each player,0.0
nlp:tfidf__& each creatur,0.0
nlp:tfidf__& creatur your,0.0
nlp:tfidf__& pay {e},0.0
nlp:tfidf__& choos one,0.0
nlp:tfidf__& cardnam turn,0.0
nlp:tfidf__& cardnam put,0.0
nlp:tfidf__& begin upkeep,0.0
nlp:tfidf__& begin combat,0.0
nlp:tfidf__& [0] :,0.0
nlp:tfidf__& [ 9],0.0
nlp:tfidf__& [ 1],0.0
nlp:tfidf__& partner (,0.0
nlp:tfidf__& persist (,0.0
nlp:tfidf__& {3} {g},0.0
nlp:tfidf__& trampl &,0.0
nlp:tfidf__& {3} {b},0.0
nlp:tfidf__& {2} {w},0.0
nlp:tfidf__& {2} {g},0.0
nlp:tfidf__& {1} {w},0.0
nlp:tfidf__& {0} :,0.0
nlp:tfidf__& you gain,0.0
nlp:tfidf__& you cast,0.0
nlp:tfidf__& whenev oppon,0.0
nlp:tfidf__& threshold long,0.0
nlp:tfidf__& player can't,0.0
nlp:tfidf__& target player,0.0
nlp:tfidf__& target oppon,0.0
nlp:tfidf__& storm (,0.0
nlp:tfidf__& spell masteri,0.0
nlp:tfidf__& remov three,0.0
nlp:tfidf__& rebound (,0.0
nlp:tfidf__& prowess (,0.0
nlp:tfidf__& prevent damag,0.0
nlp:tfidf__( your next,0.0
nlp:tfidf__( your parti,0.0
nlp:tfidf__( {1} :,0.0
nlp:tfidf__. & delirium,0.0
nlp:tfidf__. & mad,0.0
nlp:tfidf__. & long,0.0
nlp:tfidf__. & landfal,0.0
nlp:tfidf__. & iii,0.0
nlp:tfidf__. & ii,0.0
nlp:tfidf__. & foretel,0.0
nlp:tfidf__. & escap,0.0
nlp:tfidf__. & each,0.0
nlp:tfidf__. & damag,0.0
nlp:tfidf__. & overload,0.0
nlp:tfidf__. & crew,0.0
nlp:tfidf__. & creatur,0.0
nlp:tfidf__. & creat,0.0
nlp:tfidf__. & counter,0.0
nlp:tfidf__. & choos,0.0
nlp:tfidf__. & [0],0.0
nlp:tfidf__. & [+1],0.0
nlp:tfidf__-x/-x end turn,0.0
nlp:tfidf__. & morph,0.0
nlp:tfidf__. & partner,0.0
nlp:tfidf__-1/-1 counter player,0.0
nlp:tfidf__. & target,0.0
nlp:tfidf__. ( activ,0.0
nlp:tfidf__. & {x},0.0
nlp:tfidf__. & {r},0.0
nlp:tfidf__. & {g},0.0
nlp:tfidf__. & {3},0.0
nlp:tfidf__. & {2},0.0
nlp:tfidf__. & your,0.0
nlp:tfidf__. & unearth,0.0
nlp:tfidf__. & tap,0.0
nlp:tfidf__. & pay,0.0
nlp:tfidf__. & storm,0.0
nlp:tfidf__. & splice,0.0
nlp:tfidf__. & search,0.0
nlp:tfidf__. & sacrific,0.0
nlp:tfidf__. & rebound,0.0
nlp:tfidf__. & put,0.0
nlp:tfidf__. & prevent,0.0
nlp:tfidf__. & player,0.0
nlp:tfidf__-1/-1 counter return,0.0
nlp:tfidf__+2/+2 gain trampl,0.0
nlp:tfidf__( {1} {b},0.0
nlp:tfidf__) & destroy,0.0
nlp:tfidf__) & sacrific,0.0
nlp:tfidf__) & return,0.0
nlp:tfidf__) & prevent,0.0
nlp:tfidf__) & long,0.0
nlp:tfidf__) & level,0.0
nlp:tfidf__) & equip,0.0
nlp:tfidf__) & enchant,0.0
nlp:tfidf__) & each,0.0
nlp:tfidf__) & creat,0.0
nlp:tfidf__) & {1},0.0
nlp:tfidf__) & choos,0.0
nlp:tfidf__) & begin,0.0
nlp:tfidf__( {s} paid,0.0
nlp:tfidf__( {q} untap,0.0
nlp:tfidf__( {c} repres,0.0
nlp:tfidf__( {3} :,0.0
nlp:tfidf__( {2} discard,0.0
nlp:tfidf__( {2} :,0.0
nlp:tfidf__) & target,0.0
nlp:tfidf__) & {3},0.0
nlp:tfidf__+2/+2 end turn,0.0
nlp:tfidf__+1/+1 counter one,0.0
nlp:tfidf__+2/+2 . &,0.0
nlp:tfidf__+2/+1 end turn,0.0
nlp:tfidf__+2/+0 . &,0.0
nlp:tfidf__+1/+1 long you,0.0
nlp:tfidf__+1/+1 gain trampl,0.0
nlp:tfidf__+1/+1 each creatur,0.0
nlp:tfidf__+1/+1 counter return,0.0
nlp:tfidf__+1/+1 counter put,0.0
nlp:tfidf__+1/+1 counter equal,0.0
nlp:tfidf__) & {b},0.0
nlp:tfidf__+1/+1 counter creat,0.0
nlp:tfidf__+1/+1 counter becom,0.0
nlp:tfidf__+1/+1 counter armi,0.0
nlp:tfidf__+1/+1 counter among,0.0
nlp:tfidf__+1/+0 gain first,0.0
nlp:tfidf__) . &,0.0
nlp:tfidf__) & {t},0.0
nlp:tfidf__) & {r},0.0
nlp:tfidf__abil . ),0.0
nlp:tfidf__abil can't target,0.0
nlp:tfidf__cardnam becom copi,0.0
nlp:tfidf__card : creat,0.0
nlp:tfidf__bottom . player,0.0
nlp:tfidf__both you pay,0.0
nlp:tfidf__both first-strike regular,0.0
nlp:tfidf__both . ),0.0
nlp:tfidf__block you may,0.0
nlp:tfidf__block turn .,0.0
nlp:tfidf__block target dealt,0.0
nlp:tfidf__block long defend,0.0
nlp:tfidf__block group .,0.0
nlp:tfidf__block get +2/+2,0.0
nlp:tfidf__block get +1/+1,0.0
nlp:tfidf__block except two,0.0
nlp:tfidf__block except creatur,0.0
nlp:tfidf__block except artifact,0.0
nlp:tfidf__block defend player,0.0
nlp:tfidf__block creatur you,0.0
nlp:tfidf__block creatur shadow,0.0
nlp:tfidf__block creatur power,0.0
nlp:tfidf__block creatur get,0.0
nlp:tfidf__bushido 1 (,0.0
nlp:tfidf__buyback {3} (,0.0
nlp:tfidf__came your control,0.0
nlp:tfidf__can't block turn,0.0
nlp:tfidf__card . put,0.0
nlp:tfidf__card . each,0.0
nlp:tfidf__card . cardnam,0.0
nlp:tfidf__card . ),0.0
nlp:tfidf__can't target spell,0.0
nlp:tfidf__can't regener .,0.0
nlp:tfidf__can't counter .,0.0
nlp:tfidf__can't cast spell,0.0
nlp:tfidf__can't block target,0.0
nlp:tfidf__can't attack .,0.0
nlp:tfidf__can't block one,0.0
nlp:tfidf__can't block long,0.0
nlp:tfidf__can't block except,0.0
nlp:tfidf__can't block creatur,0.0
nlp:tfidf__can't block .,0.0
nlp:tfidf__can't attack you,0.0
nlp:tfidf__can't attack unless,0.0
nlp:tfidf__can't attack block,0.0
nlp:tfidf__block creatur fli,0.0
nlp:tfidf__block creatur creatur,0.0
nlp:tfidf__block creatur cardnam,0.0
nlp:tfidf__becom block creatur,0.0
nlp:tfidf__begin each end,0.0
nlp:tfidf__begin combat your,0.0
nlp:tfidf__becom monstrous .,0.0
nlp:tfidf__becom monarch .,0.0
nlp:tfidf__becom creatur attach,0.0
nlp:tfidf__becom block you,0.0
nlp:tfidf__becom block get,0.0
nlp:tfidf__becom block defend,0.0
nlp:tfidf__becom aura enchant,0.0
nlp:tfidf__begin each player,0.0
nlp:tfidf__becom artifact creatur,0.0
nlp:tfidf__becom 0/0 element,0.0
nlp:tfidf__beast creatur token,0.0
nlp:tfidf__battlefield your hand,0.0
nlp:tfidf__battlefield your choic,0.0
nlp:tfidf__battlefield you get,0.0
nlp:tfidf__battlefield you control,0.0
nlp:tfidf__battlefield you becom,0.0
nlp:tfidf__begin each oppon,0.0
nlp:tfidf__begin each upkeep,0.0
nlp:tfidf__block creatur block,0.0
nlp:tfidf__black spirit creatur,0.0
nlp:tfidf__block cardnam turn,0.0
nlp:tfidf__block block creatur,0.0
nlp:tfidf__block addit creatur,0.0
nlp:tfidf__block activ abil,0.0
nlp:tfidf__block . &,0.0
nlp:tfidf__bless rest game,0.0
nlp:tfidf__black zombi creatur,0.0
nlp:tfidf__black zombi armi,0.0
nlp:tfidf__black creatur you,0.0
nlp:tfidf__begin end step,0.0
nlp:tfidf__black creatur .,0.0
nlp:tfidf__bird creatur token,0.0
nlp:tfidf__beyond first .,0.0
nlp:tfidf__bestow cost aura,0.0
nlp:tfidf__begin your next,0.0
nlp:tfidf__begin your last,0.0
nlp:tfidf__begin upkeep enchant,0.0
nlp:tfidf__begin next turn,0.0
nlp:tfidf__card : cardnam,0.0
nlp:tfidf__card : draw,0.0
nlp:tfidf__abil mana abil,0.0
nlp:tfidf__card : put,0.0
nlp:tfidf__cardnam : exil,0.0
nlp:tfidf__cardnam : draw,0.0
nlp:tfidf__cardnam : destroy,0.0
nlp:tfidf__cardnam : creatur,0.0
nlp:tfidf__cardnam : creat,0.0
nlp:tfidf__cardnam : counter,0.0
nlp:tfidf__cardnam : cardnam,0.0
nlp:tfidf__cardnam . activ,0.0
nlp:tfidf__cardnam . (,0.0
nlp:tfidf__card you outsid,0.0
nlp:tfidf__card you may,0.0
nlp:tfidf__card you lose,0.0
nlp:tfidf__card you exil,0.0
nlp:tfidf__card without pay,0.0
nlp:tfidf__card type among,0.0
nlp:tfidf__card top librari,0.0
nlp:tfidf__card top bottom,0.0
nlp:tfidf__card target player,0.0
nlp:tfidf__card target oppon,0.0
nlp:tfidf__cardnam : prevent,0.0
nlp:tfidf__cardnam : put,0.0
nlp:tfidf__cardnam : regener,0.0
nlp:tfidf__cardnam attack creatur,0.0
nlp:tfidf__cardnam becom block,0.0
nlp:tfidf__cardnam becom 4/4,0.0
nlp:tfidf__cardnam base power,0.0
nlp:tfidf__cardnam attack you,0.0
nlp:tfidf__cardnam attack target,0.0
nlp:tfidf__cardnam attack get,0.0
nlp:tfidf__cardnam attack each,0.0
nlp:tfidf__cardnam attack defend,0.0
nlp:tfidf__cardnam attack creat,0.0
nlp:tfidf__cardnam : return,0.0
nlp:tfidf__cardnam attack .,0.0
nlp:tfidf__cardnam assign combat,0.0
nlp:tfidf__cardnam anoth enchant,0.0
nlp:tfidf__cardnam anoth creatur,0.0
nlp:tfidf__cardnam anoth alli,0.0
nlp:tfidf__cardnam : you,0.0
nlp:tfidf__cardnam : target,0.0
nlp:tfidf__cardnam : search,0.0
nlp:tfidf__card reveal way,0.0
nlp:tfidf__card reveal put,0.0
nlp:tfidf__card reveal card,0.0
nlp:tfidf__card bestow cost,0.0
nlp:tfidf__card enter battlefield,0.0
nlp:tfidf__card effect spell,0.0
nlp:tfidf__card each creatur,0.0
nlp:tfidf__card discard exil,0.0
nlp:tfidf__card discard card,0.0
nlp:tfidf__card cost less,0.0
nlp:tfidf__card color .,0.0
nlp:tfidf__card cardnam get,0.0
nlp:tfidf__card begin next,0.0
nlp:tfidf__card exil .,0.0
nlp:tfidf__card battlefield your,0.0
nlp:tfidf__card battlefield owner,0.0
nlp:tfidf__card back put,0.0
nlp:tfidf__card among put,0.0
nlp:tfidf__card among onto,0.0
nlp:tfidf__card addit pay,0.0
nlp:tfidf__card : target,0.0
nlp:tfidf__card : return,0.0
nlp:tfidf__card everi creatur,0.0
nlp:tfidf__card exil cardnam,0.0
nlp:tfidf__card reveal .,0.0
nlp:tfidf__card long remain,0.0
nlp:tfidf__card random :,0.0
nlp:tfidf__card random .,0.0
nlp:tfidf__card put graveyard,0.0
nlp:tfidf__card put card,0.0
nlp:tfidf__card power target,0.0
nlp:tfidf__card oppon graveyard,0.0
nlp:tfidf__card onto battlefield,0.0
nlp:tfidf__card name cardnam,0.0
nlp:tfidf__card librari put,0.0
nlp:tfidf__card exil way,0.0
nlp:tfidf__card librari .,0.0
nlp:tfidf__card instead .,0.0
nlp:tfidf__card higher convert,0.0
nlp:tfidf__card hand you,0.0
nlp:tfidf__card hand cardnam,0.0
nlp:tfidf__card hand .,0.0
nlp:tfidf__card face 2/2,0.0
nlp:tfidf__card exil without,0.0
nlp:tfidf__battlefield x +1/+1,0.0
nlp:tfidf__battlefield unattach stay,0.0
nlp:tfidf__battlefield three +1/+1,0.0
nlp:tfidf__battlefield tap target,0.0
nlp:tfidf__ani number your,0.0
nlp:tfidf__ani number time,0.0
nlp:tfidf__ani number perman,0.0
nlp:tfidf__ani number card,0.0
nlp:tfidf__ani number bottom,0.0
nlp:tfidf__ani creatur block,0.0
nlp:tfidf__ani creatur band,0.0
nlp:tfidf__ani cost you,0.0
nlp:tfidf__ani color .,0.0
nlp:tfidf__ani amount damag,0.0
nlp:tfidf__angel creatur token,0.0
nlp:tfidf__and/or sorceri card,0.0
nlp:tfidf__and/or player give,0.0
nlp:tfidf__and/or graveyard card,0.0
nlp:tfidf__and/or creatur share,0.0
nlp:tfidf__and/or black creatur,0.0
nlp:tfidf__amount damag deal,0.0
nlp:tfidf__among your hand,0.0
nlp:tfidf__among put your,0.0
nlp:tfidf__ani one color,0.0
nlp:tfidf__ani target turn,0.0
nlp:tfidf__ani target you,0.0
nlp:tfidf__anoth player pay,0.0
nlp:tfidf__artifact : draw,0.0
nlp:tfidf__artifact : cardnam,0.0
nlp:tfidf__artifact : add,0.0
nlp:tfidf__artifact . &,0.0
nlp:tfidf__armi you control,0.0
nlp:tfidf__armi creatur token,0.0
nlp:tfidf__anoth unpair creatur,0.0
nlp:tfidf__anoth target creatur,0.0
nlp:tfidf__anoth enchant enter,0.0
nlp:tfidf__ani time mana,0.0
nlp:tfidf__anoth creatur you,0.0
nlp:tfidf__anoth creatur enter,0.0
nlp:tfidf__anoth creatur die,0.0
nlp:tfidf__anoth creatur :,0.0
nlp:tfidf__anoth counter each,0.0
nlp:tfidf__anoth alli enter,0.0
nlp:tfidf__ani time morph,0.0
nlp:tfidf__ani time megamorph,0.0
nlp:tfidf__among onto battlefield,0.0
nlp:tfidf__among one two,0.0
nlp:tfidf__among land you,0.0
nlp:tfidf__activ abil ani,0.0
nlp:tfidf__adam least three,0.0
nlp:tfidf__activ abil you,0.0
nlp:tfidf__activ abil mana,0.0
nlp:tfidf__activ abil each,0.0
nlp:tfidf__activ abil creatur,0.0
nlp:tfidf__activ abil cardnam,0.0
nlp:tfidf__activ abil can't,0.0
nlp:tfidf__activ abil artifact,0.0
nlp:tfidf__activ abil .,0.0
nlp:tfidf__add lore counter,0.0
nlp:tfidf__abl . gain,0.0
nlp:tfidf__abl . &,0.0
nlp:tfidf__abil your upkeep,0.0
nlp:tfidf__abil your turn,0.0
nlp:tfidf__abil your oppon,0.0
nlp:tfidf__abil you control,0.0
nlp:tfidf__abil pay {1},0.0
nlp:tfidf__abil oppon control,0.0
nlp:tfidf__add card effect,0.0
nlp:tfidf__add one mana,0.0
nlp:tfidf__among card your,0.0
nlp:tfidf__addit {4} you,0.0
nlp:tfidf__among ani number,0.0
nlp:tfidf__among ani creatur,0.0
nlp:tfidf__also caus you,0.0
nlp:tfidf__also caus control,0.0
nlp:tfidf__alon creatur get,0.0
nlp:tfidf__alli enter battlefield,0.0
nlp:tfidf__age counter perman,0.0
nlp:tfidf__age counter .,0.0
nlp:tfidf__addit {3} you,0.0
nlp:tfidf__add two mana,0.0
nlp:tfidf__addit type .,0.0
nlp:tfidf__addit pay cost,0.0
nlp:tfidf__addit creatur each,0.0
nlp:tfidf__addit ani cost,0.0
nlp:tfidf__add {r} {r},0.0
nlp:tfidf__add {g} .,0.0
nlp:tfidf__add {c} {c},0.0
nlp:tfidf__add {c} .,0.0
nlp:tfidf__artifact : you,0.0
nlp:tfidf__artifact convert mana,0.0
nlp:tfidf__artifact creatur .,0.0
nlp:tfidf__battlefield attach target,0.0
nlp:tfidf__battlefield deal 2,0.0
nlp:tfidf__battlefield deal 1,0.0
nlp:tfidf__battlefield creatur you,0.0
nlp:tfidf__battlefield creatur leav,0.0
nlp:tfidf__battlefield copi ani,0.0
nlp:tfidf__battlefield choos one,0.0
nlp:tfidf__battlefield choos creatur,0.0
nlp:tfidf__battlefield choos color,0.0
nlp:tfidf__battlefield attach creatur,0.0
nlp:tfidf__battlefield destroy target,0.0
nlp:tfidf__battlefield . you,0.0
nlp:tfidf__battlefield . unearth,0.0
nlp:tfidf__battlefield . shuffl,0.0
nlp:tfidf__battlefield . remain,0.0
nlp:tfidf__battlefield . put,0.0
nlp:tfidf__battlefield . gain,0.0
nlp:tfidf__battlefield . creatur,0.0
nlp:tfidf__battlefield . activ,0.0
nlp:tfidf__battlefield deal damag,0.0
nlp:tfidf__battlefield draw card,0.0
nlp:tfidf__basic land type,0.0
nlp:tfidf__battlefield return cardnam,0.0
nlp:tfidf__battlefield tap shuffl,0.0
nlp:tfidf__battlefield tap enchant,0.0
nlp:tfidf__battlefield tap .,0.0
nlp:tfidf__battlefield shuffl your,0.0
nlp:tfidf__battlefield search your,0.0
nlp:tfidf__battlefield reveal top,0.0
nlp:tfidf__battlefield return target,0.0
nlp:tfidf__battlefield return exil,0.0
nlp:tfidf__battlefield put +1/+1,0.0
nlp:tfidf__battlefield each oppon,0.0
nlp:tfidf__die put +1/+1,0.0
nlp:tfidf__battlefield owner control,0.0
nlp:tfidf__battlefield oppon control,0.0
nlp:tfidf__battlefield look top,0.0
nlp:tfidf__battlefield four +1/+1,0.0
nlp:tfidf__battlefield face 2/2,0.0
nlp:tfidf__battlefield exil target,0.0
nlp:tfidf__battlefield each player,0.0
nlp:tfidf__battlefield . (,0.0
nlp:tfidf__base power tough,0.0
nlp:tfidf__artifact creatur and/or,0.0
nlp:tfidf__ascend ( you,0.0
nlp:tfidf__attack block activ,0.0
nlp:tfidf__attack band .,0.0
nlp:tfidf__attack alon creatur,0.0
nlp:tfidf__attack . you,0.0
nlp:tfidf__attack . &,0.0
nlp:tfidf__attach target creatur,0.0
nlp:tfidf__attach creatur .,0.0
nlp:tfidf__assist ( anoth,0.0
nlp:tfidf__artifact {t} sacrific,0.0
nlp:tfidf__attack creatur .,0.0
nlp:tfidf__artifact {2} {t},0.0
nlp:tfidf__artifact you tap,0.0
nlp:tfidf__artifact token {2},0.0
nlp:tfidf__artifact legendari saga,0.0
nlp:tfidf__artifact help cast,0.0
nlp:tfidf__artifact enter battlefield,0.0
nlp:tfidf__artifact enchant .,0.0
nlp:tfidf__artifact creatur you,0.0
nlp:tfidf__attack caus creatur,0.0
nlp:tfidf__attack creatur get,0.0
nlp:tfidf__band you control,0.0
nlp:tfidf__attack you may,0.0
nlp:tfidf__band one without,0.0
nlp:tfidf__band block group,0.0
nlp:tfidf__band . band,0.0
nlp:tfidf__band ( ani,0.0
nlp:tfidf__back put your,0.0
nlp:tfidf__aura spell enchant,0.0
nlp:tfidf__attack {t} soon,0.0
nlp:tfidf__attack you planeswalk,0.0
nlp:tfidf__attack you control,0.0
nlp:tfidf__attack defend player,0.0
nlp:tfidf__attack turn .,0.0
nlp:tfidf__attack step .,0.0
nlp:tfidf__attack put +1/+1,0.0
nlp:tfidf__attack player you,0.0
nlp:tfidf__attack oppon turn,0.0
nlp:tfidf__attack get +1/+1,0.0
nlp:tfidf__attack each oppon,0.0
nlp:tfidf__attack each combat,0.0
nlp:tfidf__die each player,0.0
nlp:tfidf__enter battlefield .,0.0
nlp:tfidf__die return card,0.0
nlp:tfidf__trampl & begin,0.0
nlp:tfidf__turn . scri,0.0
nlp:tfidf__turn . instead,0.0
nlp:tfidf__turn . creatur,0.0
nlp:tfidf__turn . ),0.0
nlp:tfidf__treat though exist,0.0
nlp:tfidf__treasur token .,0.0
nlp:tfidf__trampl end turn,0.0
nlp:tfidf__trampl . &,0.0
nlp:tfidf__trampl ( creatur,0.0
nlp:tfidf__trampl & whenev,0.0
nlp:tfidf__toward your devot,0.0
nlp:tfidf__turn . still,0.0
nlp:tfidf__tough among creatur,0.0
nlp:tfidf__top x card,0.0
nlp:tfidf__top two card,0.0
nlp:tfidf__top three card,0.0
nlp:tfidf__top six card,0.0
nlp:tfidf__top seven card,0.0
nlp:tfidf__top plus abil,0.0
nlp:tfidf__top owner librari,0.0
nlp:tfidf__top librari reveal,0.0
nlp:tfidf__top four card,0.0
nlp:tfidf__turn . spell,0.0
nlp:tfidf__turn . untap,0.0
nlp:tfidf__top card your,0.0
nlp:tfidf__turn one .,0.0
nlp:tfidf__two 1/1 white,0.0
nlp:tfidf__two 1/1 red,0.0
nlp:tfidf__two 1/1 green,0.0
nlp:tfidf__two 1/1 colorless,0.0
nlp:tfidf__two +1/+1 counter,0.0
nlp:tfidf__turn you may,0.0
nlp:tfidf__turn x number,0.0
nlp:tfidf__turn target creatur,0.0
nlp:tfidf__turn put +1/+1,0.0
nlp:tfidf__turn prevent damag,0.0
nlp:tfidf__turn foretel cost,0.0
nlp:tfidf__turn . you,0.0
nlp:tfidf__turn face ani,0.0
nlp:tfidf__turn each turn,0.0
nlp:tfidf__turn each creatur,0.0
nlp:tfidf__turn creatur you,0.0
nlp:tfidf__turn creatur enter,0.0
nlp:tfidf__turn creat 1/1,0.0
nlp:tfidf__turn cardnam deal,0.0
nlp:tfidf__turn cardnam becom,0.0
nlp:tfidf__turn can't block,0.0
nlp:tfidf__turn abl .,0.0
nlp:tfidf__top five card,0.0
nlp:tfidf__top card librari,0.0
nlp:tfidf__would dealt target,0.0
nlp:tfidf__target spell perman,0.0
nlp:tfidf__thopter artifact creatur,0.0
nlp:tfidf__text replac instanc,0.0
nlp:tfidf__ten perman you,0.0
nlp:tfidf__target you gain,0.0
nlp:tfidf__target turn .,0.0
nlp:tfidf__target target spell,0.0
nlp:tfidf__target tap creatur,0.0
nlp:tfidf__target spirit card,0.0
nlp:tfidf__target spell unless,0.0
nlp:tfidf__target spell target,0.0
nlp:tfidf__target spell .,0.0
nlp:tfidf__though flash .,0.0
nlp:tfidf__target player shuffl,0.0
nlp:tfidf__target player sacrific,0.0
nlp:tfidf__target player reveal,0.0
nlp:tfidf__target player planeswalk,0.0
nlp:tfidf__target player may,0.0
nlp:tfidf__target player lose,0.0
nlp:tfidf__target player librari,0.0
nlp:tfidf__target player graveyard,0.0
nlp:tfidf__target player gain,0.0
nlp:tfidf__target player control,0.0
nlp:tfidf__though exist .,0.0
nlp:tfidf__though mana ani,0.0
nlp:tfidf__top bottom .,0.0
nlp:tfidf__time sourc your,0.0
nlp:tfidf__top ani order,0.0
nlp:tfidf__token {2} sacrific,0.0
nlp:tfidf__token x number,0.0
nlp:tfidf__token fli .,0.0
nlp:tfidf__token copi except,0.0
nlp:tfidf__token copi creatur,0.0
nlp:tfidf__token copi attack,0.0
nlp:tfidf__token . sacrific,0.0
nlp:tfidf__time you could,0.0
nlp:tfidf__time you cast,0.0
nlp:tfidf__time morph cost,0.0
nlp:tfidf__three +1/+1 counter,0.0
nlp:tfidf__time megamorph cost,0.0
nlp:tfidf__time mana cost,0.0
nlp:tfidf__time each turn,0.0
nlp:tfidf__time creatur would,0.0
nlp:tfidf__time counter .,0.0
nlp:tfidf__threshold long seven,0.0
nlp:tfidf__three time counter,0.0
nlp:tfidf__three target creatur,0.0
nlp:tfidf__three spore counter,0.0
nlp:tfidf__three 1/1 white,0.0
nlp:tfidf__two basic land,0.0
nlp:tfidf__two card .,0.0
nlp:tfidf__two card discard,0.0
nlp:tfidf__whenev creatur becom,0.0
nlp:tfidf__whenev enchant creatur,0.0
nlp:tfidf__whenev creatur you,0.0
nlp:tfidf__whenev creatur without,0.0
nlp:tfidf__whenev creatur oppon,0.0
nlp:tfidf__whenev creatur mutat,0.0
nlp:tfidf__whenev creatur enter,0.0
nlp:tfidf__whenev creatur die,0.0
nlp:tfidf__whenev creatur dealt,0.0
nlp:tfidf__whenev creatur deal,0.0
nlp:tfidf__whenev creatur block,0.0
nlp:tfidf__whenev creatur attack,0.0
nlp:tfidf__whenev equip creatur,0.0
nlp:tfidf__whenev cardnam least,0.0
nlp:tfidf__whenev cardnam enter,0.0
nlp:tfidf__whenev cardnam dealt,0.0
nlp:tfidf__whenev cardnam anoth,0.0
nlp:tfidf__whenev anoth nontoken,0.0
nlp:tfidf__whenev anoth creatur,0.0
nlp:tfidf__way your hand,0.0
nlp:tfidf__way cardnam deal,0.0
nlp:tfidf__way . &,0.0
nlp:tfidf__warrior creatur token,0.0
nlp:tfidf__whenev enchant land,0.0
nlp:tfidf__whenev land enter,0.0
nlp:tfidf__two card your,0.0
nlp:tfidf__white spirit creatur,0.0
nlp:tfidf__would dealt creatur,0.0
nlp:tfidf__would dealt cardnam,0.0
nlp:tfidf__would dealt ani,0.0
nlp:tfidf__would deal damag,0.0
nlp:tfidf__wolf creatur token,0.0
nlp:tfidf__without flank block,0.0
nlp:tfidf__without first strike,0.0
nlp:tfidf__without attack band,0.0
nlp:tfidf__wither ( deal,0.0
nlp:tfidf__win card higher,0.0
nlp:tfidf__white soldier creatur,0.0
nlp:tfidf__whenev nontoken creatur,0.0
nlp:tfidf__white knight creatur,0.0
nlp:tfidf__white human soldier,0.0
nlp:tfidf__white creatur you,0.0
nlp:tfidf__white angel creatur,0.0
nlp:tfidf__whenev you sacrific,0.0
nlp:tfidf__whenev you gain,0.0
nlp:tfidf__whenev you draw,0.0
nlp:tfidf__whenev you cycl,0.0
nlp:tfidf__whenev oppon cast,0.0
nlp:tfidf__whenev one creatur,0.0
nlp:tfidf__vigil . &,0.0
nlp:tfidf__vigil ( attack,0.0
nlp:tfidf__vehicl becom artifact,0.0
nlp:tfidf__type among land,0.0
nlp:tfidf__unless you sacrific,0.0
nlp:tfidf__unless you exil,0.0
nlp:tfidf__unless you discard,0.0
nlp:tfidf__unless you control,0.0
nlp:tfidf__unless defend player,0.0
nlp:tfidf__unless control pay,0.0
nlp:tfidf__undi ( creatur,0.0
nlp:tfidf__unblock attack you,0.0
nlp:tfidf__unattach stay battlefield,0.0
nlp:tfidf__type your choic,0.0
nlp:tfidf__type among card,0.0
nlp:tfidf__vampir you control,0.0
nlp:tfidf__type . ),0.0
nlp:tfidf__type . &,0.0
nlp:tfidf__two untap creatur,0.0
nlp:tfidf__two mana ani,0.0
nlp:tfidf__two instant and/or,0.0
nlp:tfidf__two energi counter,0.0
nlp:tfidf__two creatur card,0.0
nlp:tfidf__two creatur attack,0.0
nlp:tfidf__two creatur .,0.0
nlp:tfidf__two command both,0.0
nlp:tfidf__unpair creatur either,0.0
nlp:tfidf__untap cardnam your,0.0
nlp:tfidf__untap control next,0.0
nlp:tfidf__untap control untap,0.0
nlp:tfidf__upkeep {1} (,0.0
nlp:tfidf__upkeep you may,0.0
nlp:tfidf__upkeep you lose,0.0
nlp:tfidf__upkeep you control,0.0
nlp:tfidf__upkeep sacrific unless,0.0
nlp:tfidf__upkeep sacrific creatur,0.0
nlp:tfidf__upkeep sacrific cardnam,0.0
nlp:tfidf__upkeep remov time,0.0
nlp:tfidf__upkeep remov fade,0.0
nlp:tfidf__upkeep put spore,0.0
nlp:tfidf__upkeep put age,0.0
nlp:tfidf__upkeep put +1/+1,0.0
nlp:tfidf__upkeep enchant creatur,0.0
nlp:tfidf__upkeep cost each,0.0
nlp:tfidf__upkeep came your,0.0
nlp:tfidf__untap your next,0.0
nlp:tfidf__untap target creatur,0.0
nlp:tfidf__untap step long,0.0
nlp:tfidf__untap step .,0.0
nlp:tfidf__untap creatur you,0.0
nlp:tfidf__untap creatur .,0.0
nlp:tfidf__target perman you,0.0
nlp:tfidf__target perman owner,0.0
nlp:tfidf__target perman card,0.0
nlp:tfidf__sliver creatur you,0.0
