feature,weight
nlp:tfidf__creat 3/3 green,0.0
nlp:tfidf__dealt you turn,0.0
nlp:tfidf__control cardnam .,0.0
nlp:tfidf__return target artifact,0.0
nlp:tfidf__& cardnam can't,0.0
nlp:tfidf__spell unless control,0.0
nlp:tfidf__{w} discard card,0.0
nlp:tfidf__card your graveyard,0.0
nlp:tfidf__cast spell ani,0.0
nlp:tfidf__you creat 1/1,0.0
nlp:tfidf__less cast .,0.0
nlp:tfidf__3 less your,0.0
nlp:tfidf__creatur get +0/+2,0.0
nlp:tfidf__. & {t},0.0
nlp:tfidf__counter . ),0.0
nlp:tfidf__pay {1} .,0.0
nlp:tfidf__vigil & whenev,0.0
nlp:tfidf__: destroy target,0.0
nlp:tfidf__: you get,0.0
nlp:tfidf__gain indestruct end,0.0
nlp:tfidf__battlefield target creatur,0.0
nlp:tfidf__& whenev equip,0.0
nlp:tfidf__( attack {t},0.0
nlp:tfidf__target creatur equal,0.0
nlp:tfidf__. & {5},0.0
nlp:tfidf__( choos creatur,0.0
nlp:tfidf__graveyard . &,0.0
nlp:tfidf__would put your,0.0
nlp:tfidf__may reveal card,0.0
nlp:tfidf__) & {2},0.0
nlp:tfidf__target oppon reveal,0.0
nlp:tfidf__{t} : put,0.0
nlp:tfidf__player control .,0.0
nlp:tfidf__. & flashback,0.0
nlp:tfidf__: target player,0.0
nlp:tfidf__attach cardnam .,0.0
nlp:tfidf__. & whenev,0.0
nlp:tfidf__first strike end,0.0
nlp:tfidf__creatur & enchant,0.0
nlp:tfidf__damag creatur destroy,0.0
nlp:tfidf__sourc your choic,0.0
nlp:tfidf__& {w} :,0.0
nlp:tfidf__& whenev enchant,0.0
nlp:tfidf__: search your,0.0
nlp:tfidf__artifact card your,0.0
nlp:tfidf__deathtouch end turn,0.0
nlp:tfidf__: draw card,0.0
nlp:tfidf__card put your,0.0
nlp:tfidf__battlefield creat two,0.0
nlp:tfidf__creatur type your,0.0
nlp:tfidf__: exil target,0.0
nlp:tfidf__+1/+1 . &,0.0
nlp:tfidf__. exil begin,0.0
other:types_Artifact,0.0
nlp:tfidf__your graveyard .,0.0
nlp:tfidf__. each oppon,0.0
nlp:tfidf__& {1} remov,0.0
nlp:tfidf__gain fli end,0.0
nlp:tfidf__. shuffl your,0.0
nlp:tfidf__cast blue spell,0.0
nlp:tfidf__& [ 2],0.0
nlp:tfidf__control enter battlefield,0.0
nlp:tfidf__( you may,0.0
nlp:tfidf__& whenev creatur,0.0
nlp:tfidf__may pay {3},0.0
nlp:tfidf__creatur untap control,0.0
nlp:tfidf__& cycl {2},0.0
nlp:tfidf__card bottom your,0.0
nlp:tfidf__ani order .,0.0
nlp:tfidf__2 damag target,0.0
nlp:tfidf__damag target attack,0.0
nlp:tfidf__. activ abil,0.0
nlp:tfidf__. & remov,0.0
nlp:tfidf__& {2} sacrific,0.0
nlp:tfidf__nontoken creatur you,0.0
nlp:tfidf__each player choos,0.0
nlp:tfidf__each player shuffl,0.0
nlp:tfidf__& cardnam power,0.0
nlp:tfidf__1/1 red goblin,0.0
nlp:tfidf__deal damag target,0.0
nlp:tfidf__+1/+1 end turn,0.0
nlp:tfidf__. & {b},0.0
nlp:tfidf__return target creatur,0.0
nlp:tfidf__. you untap,0.0
nlp:tfidf__abil ani time,0.0
nlp:tfidf__. can't regener,0.0
nlp:tfidf__& begin each,0.0
nlp:tfidf__& flashback {1},0.0
nlp:tfidf__trampl hast &,0.0
nlp:tfidf__& {2} {t},0.0
nlp:tfidf__creatur get +3/+3,0.0
nlp:tfidf__reveal ani number,0.0
nlp:tfidf__ani target equal,0.0
nlp:tfidf__cast spell sacrific,0.0
nlp:tfidf__. player discard,0.0
nlp:tfidf__creatur put your,0.0
nlp:tfidf__) & exil,0.0
nlp:tfidf__( whenev creatur,0.0
nlp:tfidf__& equip {1},0.0
nlp:tfidf__{w} ( you,0.0
nlp:tfidf__& splice onto,0.0
nlp:tfidf__& long cardnam,0.0
nlp:tfidf__ani time you,0.0
nlp:tfidf__cardnam . you,0.0
nlp:tfidf__( your artifact,0.0
nlp:tfidf__cost . (,0.0
nlp:tfidf__your control .,0.0
nlp:tfidf__get +1/+0 gain,0.0
nlp:tfidf__( creatur can't,0.0
nlp:tfidf__card top your,0.0
nlp:tfidf__( choos ani,0.0
nlp:tfidf__{g} discard card,0.0
nlp:tfidf__first strike &,0.0
nlp:tfidf__you control becom,0.0
nlp:tfidf__artifact you control,0.0
nlp:tfidf__cardnam target creatur,0.0
nlp:tfidf__: target oppon,0.0
nlp:tfidf__& cardnam die,0.0
nlp:tfidf__doubl strike &,0.0
nlp:tfidf__. begin next,0.0
nlp:tfidf__. creatur untap,0.0
nlp:tfidf__& cycl {1},0.0
nlp:tfidf__2/2 black zombi,0.0
nlp:tfidf__creatur end turn,0.0
nlp:tfidf__& landfal whenev,0.0
nlp:tfidf__& cardnam attack,0.0
nlp:tfidf__& {3} :,0.0
nlp:tfidf__& whenev you,0.0
nlp:tfidf__creatur . creatur,0.0
nlp:tfidf__2 life each,0.0
nlp:tfidf__card . (,0.0
nlp:tfidf__& [+1] :,0.0
nlp:tfidf__& your oppon,0.0
nlp:tfidf__{u} {u} (,0.0
nlp:tfidf__you may return,0.0
nlp:tfidf__: counter target,0.0
nlp:tfidf__& draw two,0.0
nlp:tfidf__{b} {r} {g},0.0
nlp:tfidf__tap target artifact,0.0
nlp:tfidf__) & creatur,0.0
nlp:tfidf__. scri 1,0.0
nlp:tfidf__) & draw,0.0
nlp:tfidf__whenev cardnam attack,0.0
nlp:tfidf__your hand .,0.0
nlp:tfidf__( can't block,0.0
nlp:tfidf__cast each creatur,0.0
